"","PAname","x","y"
"610","Far Waamo",42.5,0.25
"611","Tibesti massif",18.25,20.39
"612","Ouadi Rimé - Ouadi Achim",19.21,15.52
"613","Lake Chad",14.33,13.54
"614","Chott Djerid",8.8,33.84
"615","Burigi - Biharamulo Game Reserves",31.25,-2.39
"616","Maswa Game Reserve",34.45,-2.85
"617","Mkomazi Game Reserve",38.25,-4.17
"618","Moyowosi - Kigosi Game Reserves",31.25,-4.25
"619","Ugalla River Game Reserve",31.85,-5.95
"620","Kilombero Valley",36.15,-8.65
"621","Lake Natron and Engaruka basin",36.05,-2.65
"622","Lake Rukwa",31.97,-7.81
"623","Wembere steppe",34,-4.75
"624","West Lunga National Park and Lukwakwa Game Manage*",24.68,-12.89
"625","Barotse Floodplains",23.07,-15.2
"626","Machile",25.35,-17.05
"627","Kafue Flats",27.19,-15.69
"628","Lukanga Swamp",27.85,-14.45
"629","Bangweulu Swamps",30.25,-11.75
"630","North-western steppe",62.25,35.1
"631","Safed Koh",69.65,34.05
"632","Registan desert",65.07,30.65
"633","Touran",56.17,35.67
"634","Rud-i Jowin and Rud-i Kalshur",57.25,36.75
"635","Mooteh Protected Area",51,33.5
"636","Shadegan marshes and tidal mudflats of Khor-al Am*",48.75,30.5
"637","Kalmand Protected Area",54.75,31.5
"638","Lake Bakhtegan, Lake Tashk and Kamjan marshes",53.75,29.5
"639","Hormod Protected Area",55,27.5
"640","Bahram-e-Gour Protected Area",54.75,29.25
"641","Kuh-i Bazman",60,28
"642","Hamoun-i Sabari and Hamoun-i Hirmand",61.17,30.75
"643","Bahu Kalat (Gandu) Protected Area",61.5,25.75
"644","Jabal al Akhdar",57.58,23.08
"645","Barr al Hikman",58.35,20.45
"646","Empty Quarter",53.52,19.05
"647","Tadmur desert and mountains",38.35,34.55
"648","Ma'rib - Naqil Fardah - Baraqish",45.18,15.61
"649","Mittlere Schwäbische Alb with Albuch, Härtsfeld",9.65,48.55
"650","Reserva de la Biósfera Sierra Gorda",-99.67,21.33
"651","Centro de Veracruz",-96.75,19.5
"652","Annapurna Conservation Area",83.89,28.75
"653","Kanchenjungha Conservation Area",88,27.5
"654","Langtang National Park",85.5,28
"655","Makalu Barun National Park",87,27.5
"656","Jamuna-Brahmaputra river",89.75,24.75
"657","Hutan Rawa Gambut Siak-Kampar",102.75,0.5
"658","Kepulauan Lingga",104.5,-0.25
"659","Dataran Banjir Ogan Komering",104.88,-3.25
"660","Bukit Panjang - Bukit Siguntang",102.15,-1.05
"661","Rawa di Pesisir Kapuas",109.75,-0.61
"662","Sangkulirang",117.96,1.32
"663","Long Bangun",115.5,0.5
"664","Kutai",117.15,0.45
"665","Belum-Temenggor",101.5,5.5
"666","Danum Valley Conservation Area",117.5,5
"667","Lanjak Entimau Wildlife Sanctuary",112,1.5
"668","Hose-Laga mountains",114,2.5
"669","Danum-Linau",115,2.75
"670","Hingol National Park",65.5,25.75
"671","Deosai National Park",75.5,35
"672","Nara Desert Wildlife Sanctuary",69.5,27
"673","Rann of Kutch Wildlife Sanctuary",70,24.5
"674","Rajiv Ghandi Wildlife Sanctuary (Nagarjunasagar -*",78.81,16.19
"675","Kurseala River Course and Diyara Floodplain",87,25.5
"676","Banni Grassland and Chhari Dhand",69.75,23.5
"677","Bhal area",72,22.25
"678","Wild Ass Wildlife Sanctuary",71.12,23.56
"679","Jawaharlal Nehru Bustard Sanctuary",75.42,18.12
"680","Simlipal National Park",86.45,21.85
"681","Khangchendzonga National Park and Biosphere Reser*",88.5,27.5
"682","Askot Wildlife Sanctuary and Goriganga Basin",80.25,30.25
"683","Gangotri National Park",79,31
"684","Golfo de los Mosquitos Forests",-80.65,8.95
"685","Irgiz-Turgay Lakes",62.25,48.75
"686","Parque Nacional da Chapada Diamantina",-41.5,-12.75
"687","Rio Arrojado",-45.39,-13.54
"688","Ilhéus / Itabuna",-39.45,-14.65
"689","Estação Ecológica de Uruçuí-Una",-45.25,-8.88
"690","Campos do Planalto das Araucárias",-50.25,-28.5
"691","Campos de Cima da Serra",-50.25,-29
"692","Região dos Aparados da Serra",-49.92,-29.17
"693","Médio Rio Camaquã",-53,-31
"694","Maya - Lacandón",-90.18,17.21
"695","Lachuá - Ik'bolay",-90.5,16
"696","Guatemalan Caribbean Slope",-88.75,15.5
"697","Atitlan",-91.25,14.75
"698","Río Negro - Pantanal",-58.5,-20
"699","Nicoya Peninsula",-85.35,9.95
"700","Caribbean lowlands and wetlands",-83.75,10.5
"701","Bosawas",-85,14.25
"702","Wawashan",-84,12.5
"703","Silva Hill",-83.95,11.85
"704","Indio Maíz",-83.95,11.15
"705","Zhusandala",74.89,44.46
"706","Ili River Delta",74.69,45.69
"707","Saiga Nature Sanctuary",57.75,44.75
"708","Mugodzhary",58.75,48.75
"709","Turkmenbashy Bay",53.31,39.81
"710","Sumbar",56.35,38.45
"711","Sarygamysh",57.39,41.75
"712","Lower reaches of the Ashchyozek River",48.35,49.05
"713","Urda Sands",48.3,48.66
"714","Maya Mountains and southern reserves",-88.81,16.81
"715","Northeastern Belize",-88.15,18.05
"716","North-western cliff faces of the Ustyurt Plateau",55.33,45.83
"717","Western cliff faces of the Ustyurt Plateau",53.92,44.83
"718","Eastern Wetlands",-53.79,-33.21
"719","Karagie Depression",51.75,43.5
"720","Serranias del Este",-55.12,-34.12
"721","Western and northern foothills of the Kalba Range",81.75,49.75
"722","Kazakhstan portion of the river Volga's Delta - Z*",49.25,46.5
"723","Donyz-Tau cliff faces",56.86,46.47
"724","Aktau cliff faces",51.39,44.46
"725","El Tapado Grasslands",-56.85,-31.55
"726","Lower reaches of the Emba River",53.75,47
"727","Ereymentau Mountains",73.19,51.5
"728","Ortau upland massif",72,47.75
"729","Ayak-Bestau Hills",70.5,47.75
"730","Lower reaches of the Sarysu River",67.17,46.42
"731","Frostviken",14.42,64.69
"732","Badhyz",61.75,35.75
"733","Ertis Ormany (Shaldai Forest)",78.69,51.81
"734","Semey Ormany (Semipalatinsk Forest)",79.81,50.84
"735","Tuchola Forest",17.89,53.96
"736","Buzaubay",62.55,41.85
"737","Eastern Kazakhstan uplands",81.25,48
"738","Chingiztau Mountains",79.58,48.5
"739","Serra dos Carajás",-50.57,-6.2
"740","Alto Juruá",-72.5,-9
"741","Tabocais",-69.62,-8.95
"742","Savanas do Amapá",-51.08,0.69
"743","Mamirauá",-65.91,-2.47
"744","Várzeas do Médio Rio Amazonas",-57.68,-2.81
"745","Terra Ronca",-46.69,-13.69
"746","Baixada Maranhense",-44.84,-2.87
"747","Barragem de Boa Esperança",-43.5,-6.5
"748","Delta do Parnaíba",-41.65,-2.95
"749","Reentrâncias Maranhenses / Paraenses",-45.8,-1.49
"750","Campos do Encanto",-59.58,-15.08
"751","Reserva Particular do Patrimônio Natural SESC Pan",-56.12,-16.75
"752","Pantanal de Nabileque",-57.95,-20.35
"753","Rios Negro e Aquidauana",-56,-20
"754","Baixo Rio Xingu",-52,-3.75
"755","Caxiuanã / Portel",-50.8,-2.7
"756","Ilha de Marajó",-49.61,-0.95
"757","Rio Capim",-48.41,-3.72
"758","Várzeas de Monte Alegre",-53.75,-1.93
"759","Jamari",-62.75,-9
"760","Tepuis de Roraima",-60.35,5.05
"761","Aurora do Tocantins / Taguatinga",-46.5,-12.5
"762","Cerrados do Nordeste de Tocantins",-47.13,-8.37
"763","Vale do Rio Palmeiras",-46.5,-12
"764","Interflúvio dos Rios Tocantins e Paranã",-48.05,-12.85
"765","Manyrak Mountains",84.25,47.5
"766","Alto Rio Juruena",-58.75,-13
"767","Tirecatinga / Utiariti",-58.25,-13.39
"768","Anson Bay, Daly and Reynolds River Floodplains",130.25,-13.61
"769","Adelaide and Mary River Floodplains",131.5,-12.5
"770","Limmen Bight",135.33,-14.83
"771","Tiwi Islands",130.89,-11.46
"772","Buckley River",139.31,-20.19
"773","Bakhuys mountains",-56.89,4.32
"774","Kabalebo / Arapahu",-57.45,4.15
"775","North-West Suriname",-57,5.5
"776","Bulloo Floodplain",143,-28.67
"777","Central NSW Mallee",145.75,-32.75
"778","Pilliga",149.19,-30.69
"779","Riverina Plains",145.43,-34.8
"780","Gregory National Park",130.44,-16.29
"781","Gulf Plains",140.78,-16.81
"782","Parque Nacional do Cabo Orange",-51.18,3.46
"783","Parque Nacional da Serra da Bodoquena e Entorno",-56.75,-21
"784","Lizarda",-47,-9.25
"785","Kangaroo Island",137.39,-35.96
"786","Iron and McIlwraith Ranges",143.25,-13
"787","Munzur Mountains",39.25,39.44
"788","Lake Télé Community Reserve",17.25,1.25
"789","Ntokou Pikounda  Reserve",16,0.89
"790","Ogooué Leketi  National Park",14.25,-2.25
"791","Bundarra-Barraba",150.85,-30.55
"792","Podişul Hârtibaciului",24.75,46
"793","Danube Delta",29.06,44.94
"794","Lake Eyre",137.29,-28.71
"795","Macquarie Marshes",147.54,-30.89
"796","Southern NSW Mallee",143.05,-34.05
"797","Barmah-Millewa",145.11,-35.75
"798","Lake Sylvester System",135.65,-18.95
"799","South-west Slopes of NSW",148.18,-34.39
"800","Strzelecki Desert Lakes",139.3,-29.11
"801","North-west Tasmanian Coast",145.25,-41.7
"802","South-east Tasmania",147.25,-43.17
"803","Cooloola and Fraser Coast",153.04,-25.61
"804","Lake Torrens",137.75,-31
"805","Lakes Muncoonie, Mumbleberry and Torquinie",138.55,-24.85
"806","Mornington Sanctuary",126.5,-17.5
"807","Mount Gibson and Charles Darwin",117.15,-29.55
"808","Karara and Lochada",116.85,-29.05
"809","Goyder Lagoon",139.12,-26.88
"810","Lake Gregory/Paraku",127.5,-20
"811","Diamantina Floodplain",140.35,-25.55
"812","Murrumbidgee Red Gums",146,-34.5
"813","Northern Swan Coastal Plain",115.75,-31.65
"814","Ulladulla to Merimbula",150.08,-36.17
"815","Harena-Kokosa",39.08,6.58
"816","Yob Wildlife Reserve",37.65,17.05
"817","Irangi Forest",28.25,-1
"818","Koffole (Arsi) Forest",39.34,7.52
"819","Qafta-Shiraro National Park",37.25,14
"820","Yayu Coffee Forest Biosphere Reserve",35.65,8.45
"821","Wadela (Wadila)",39,11.5
"822","Greater Mahale",30.25,-6
"823","Grampian Mountains",-3.39,56.96
"824","El Qasr desert",26.65,31.05
"825","The Abraq area",34.69,23.19
"826","Gebel Elba",36.25,22.25
"827","Western Negev",34.5,31
"828","Outer Indus delta",67.68,24.11
"829","Gorongosa Mountain and National Park",34.33,-18.75
"830","Lower Central Basin",100.25,14.25
"831","Nam Et",103.5,20.5
"832","Nam Ha",101.25,21
"833","Khammouan Limestone",104.75,17.75
"834","Upper Stung Sen Catchment",104.75,14
"835","Chhep",105.5,14
"836","Mondulkiri - Kratie Lowlands",106.75,12.61
"837","Snoul / Keo Sema / O Reang",107.08,12.25
"838","Dong Phou Vieng",106,16.5
"839","Central Cardamoms",103.5,12
"840","Central Oddar Meanchey",104,14
"841","Lomphat",106.75,13.5
"842","Nakai-Nam Theun",105.5,18
"843","Eastern Bolikhamxay Mountains",104.75,18.67
"844","Upper Srepok Catchment",107.25,13
"845","Xe Pian",106.15,14.55
"846","Southern Cardamoms",103.53,11.53
"847","Nam San Valley",97.95,21.35
"848","Kyaukphyu (Wunbike)",93.83,19.25
"849","Mali Hka Area",98,26.75
"850","Myinmoletkhat",98.69,13.69
"851","Paunglaung Catchment Area",96.5,20.25
"852","Central Bago Yoma",96.05,18.35
"853","Momeik - Mabein",96.5,23.5
"854","Hukaung Valley extension",96.47,26.41
"855","Hukaung Valley",96.81,26.81
"856","Bumphabum",97.55,26.35
"857","Tanintharyi National Park",99,12.75
"858","Hponkanrazi",97.25,27.62
"859","Ayeyarwady Delta (including Meinmahla Kyun)",95,16
"860","Kalahari-Gemsbok National Park",20.46,-25.61
"861","Overberg Wheatbelt",20.18,-34.39
"862","Magaliesberg",27.65,-25.95
"863","Soutpansberg",29.89,-22.96
"864","Kruger National Park and adjacent areas",31.5,-24.08
"865","Amersfoort - Bethal - Carolina District",29.75,-26.61
"866","Kouga - Baviaanskloof Complex",23.83,-33.58
"867","Rooiberge-Riemland",28.39,-28.25
"868","Platberg-Karoo Conservancy",24.35,-30.5
"869","Grasslands",30.07,-27.3
"870","Dovrefjell",9.25,62.5
"871","Uzkaya Steppe",80.25,51.64
"872","Anuyskaya",84.5,51.85
"873","Kanskaya Steppe",84.85,50.95
"874","Talduair mountain",89.35,49.95
"875","Kuznetsky Alatau Zapovednik",88.25,54.5
"876","Baganskiye Lakes",78,54
"877","Pelymsky Tuman",63.35,60.05
"878","Watershed of the Mulym'ya and Bolshoy Tap rivers",65.25,60.75
"879","East slope of the Northern Ural",59.54,63.39
"880","Verkhne-Kondinsky zakaznik",63.56,61.06
"881","Sources of the Bolshaya Karaganka and Syntasty ri*",59.85,52.55
"882","Basins of the Schuchya and Khadytayakha rivers",68.84,67.41
"883","Dvuob'ye",65.25,65.21
"884","Lower Ob'",69.25,66.65
"885","Upper and Middle Yuribey",71.5,68.25
"886","Suzunsky pine forest",82.8,53.7
"887","Kondo-Alymskaya",67.75,59
"888","Upper streams of Ob' river",67.71,61.54
"889","Zaonezh'ye",34.92,62.31
"890","Vodlozero",37,62.75
"891","Khaypudyrskaya Bay (Islands of B. Zelenets, Dolgi*",59.33,68.75
"892","Rybinsk reservoir",38.15,58.4
"893","Chudsko-Pskovski Lake and the adjacent areas",27.85,58.5
"894","Lakes of northern Karelia",32.84,65.66
"895","Kenozer'ye",38.25,62
"896","Lapland Biosphere Reserve",32,68
"897","Ponoiskaya depression",37.3,67.3
"898","Adovo-Chugrumski wetland",52.75,60.5
"899","Irendyk ridge",58.5,53
"900","Yamantau mountain",58.25,54.33
"901","Agriculture lands of south and east of Novouzensk*",48.35,50.45
"902","Archedinskiye sands",43.15,49.55
"903","Sarpinskaya lake-system",45.08,47.58
"904","Erdniyevskaya area",46.5,47
"905","Volga Delta",48.7,45.84
"906","Western Ilmen area",47.31,45.81
"907","Vaygach island",59.5,70
"908","Kolguev island",49.21,69.12
"909","Nerussa - Desna woodland",34,52.5
"910","Russki Zavorot Peninsula and eastern part of Malo*",53.7,68.66
"911","Verkhnevisherski mountain",59,61.25
"912","Watershed of the Rivers Strelna and Varzuga",37.61,66.48
"913","Kamsko-Bakaldinskiye marshes",45.39,56.46
"914","Nothern part of Gor'koe reservoir with spurs",43.25,57.5
"915","Kunovatski",66.75,65
"916","Apalachicola River and Forests",-84.83,30.17
"917","Big Cypress Swamp Watershed",-81.07,25.57
"918","Sand Ridge - Tulare Lake Bed (incl. Pixley and Ke*",-119.5,36
"919","Imperial Valley",-115.5,33
"920","Outer Continental Shelf",-75,35.5
"921","Gunnison Basin",-106.85,38.45
"922","Craters of the Moon National Monument and Preserve",-113.5,43.25
"923","Delaware Coastal Zone",-75.42,39.17
"924","Idaho National Laboratory (INL)",-112.83,43.67
"925","Owyhee Uplands",-116.75,42.5
"926","Bilk Creek - Montana Mountains",-118,41.5
"927","Sheldon NWR",-119.25,41.75
"928","Central Seward Peninsula",-165.25,65.5
"929","Central Yukon - Kuskokwim",-165.27,61.63
"930","Kuskokwim River Delta",-163.46,60.14
"931","Upper Blue Ridge Mountains",-78.71,38.25
"932","Gilbert Bay/South Arm UT05",-112.5,41
"933","Current / Jack's Fork Watershed-45",-91.31,37.19
"934","Upper / Middle Meramec River Watershed-46",-91.12,37.88
"935","Red Desert",-108.3,42.16
"936","Saginaw Bay",-83.31,43.81
"937","South Hills",-114.25,42
"938","Teshekpuk Lake-E. Dease Inlet",-153.78,70.59
"939","Catahoula-Dewey Wills-Three Rivers",-91.75,31.25
"940","North Valley Grasslands",-106.85,48.55
"941","Southern Blue Ridge",-83.25,35.75
"942","Lac Qui Parle - Big Stone IBA",-96.35,45.45
"943","Charles M. Russell National Wildlife Refuge",-107.35,47.65
"944","Upper Tanana River Valley",-143.14,63.48
"945","Active Delta (Mississippi River Birdsfoot Delta)",-89.25,29.12
"946","Ozark National Forest",-93.33,35.58
"947","Powder/Carter Sage-steppe",-104.75,45.5
"948","Leahy Junction - Moses Coulee",-119.39,47.75
"949","Chenier Plain",-92.61,29.8
"950","West Kisatchie",-92.89,31.25
"951","Barataria Terrebonne",-90.4,29.48
"952","East Kisatchie",-92.75,31.75
"953","Beaverhead Sage-steppe",-112.55,44.95
"954","Mussellshell Sage-steppe",-108.25,46.83
"955","Glaciated Prairie Sage-steppe",-107.64,47.97
"956","Flint Hills Region",-96.54,38.44
"957","Red Hills Region",-98.89,37.32
"958","Canyonlands Area",-110.06,38.12
"959","Coastal Prairie",-92.71,30.12
"960","Catskills Peaks Area",-74.89,42.04
"961","North Auckland Seabird Flyway",174.5,-36.75
"962","At-Tubayq",37.53,29.69
"963","Al-Habrow al-Arabi",41.45,18.65
"964","Najran Mountains",43.85,17.55
"965","Northern Everglades",-80.45,26.15
"966","Northeast Svalbard Nature Reserve",24.9,79.77
"967","Southeast Svalbard Nature Reserve",22.46,77.79
"968","South Spitsbergen National Park",15.58,77.06
"969","Lesser Slave Lake PP",-115.5,55.5
"970","Saskatchewan River Delta",-101.07,53.8
"971","Mackenzie River Delta",-135.4,69.29
"972","Kugaluk River",-131,69.25
"973","Lower Mackenzie River Islands",-130.44,67.03
"974","Middle Mackenzie River Islands",-126.22,65.02
"975","North Arm, Great Slave Lake",-114.13,62.29
"976","Coats Island/Cape Pembroke",-82.25,62.88
"977","Rasmussen Lowlands",-93.17,68.67
"978","Queen Maud Gulf",-101.59,67.2
"979","Foxe Basin Islands",-75.42,67.92
"980","Inglefield Mountains",-79.2,77.43
"981","McConnell River",-94.52,61.07
"982","Boas River and associated wetlands",-85.47,63.83
"983","East Bay/Native Bay",-82.36,64.03
"984","Akimiski Island",-81.5,53
"985","Eastern Devon Island Nunataks",-80.86,75.33
"986","Lancaster Sound Polynya",-79.66,74.18
"987","Northwestern Brodeur Peninsula",-87.5,73.5
"988","Great Plain of the Koukdjuak",-73.32,66.1
"989","Northeast James Bay Coast",-79.19,54.03
"990","Cumberland Marshes",-102.53,53.81
"991","Mambuliling",119.45,-2.85
"992","Mekongga",121.44,-3.62
"993","Pegunungan Tokalekaju",119.92,-1
"994","North-west Isabel",158.35,-7.45
"995","Hidaka mountains",142.69,42.69
"996","Northern Japan Alps",137.5,36.5
"997","Okutadami-Okunikko-Mt. Ohsabi",139.5,37
"998","Termit Mountains",11.5,16.25
"999","Boni and Dodori National Reserves",41.25,-1.62
"1000","NM Lesser-Prairie Chicken Complex",-103.65,34
"1001","Wetlands of the Tsiribihina delta and upper Tsiri*",45,-20
"1002","Daraina Forest",49.58,-13.08
"1003","Bidia - Bezavona Classified Forest",49,-17
"1004","Kirindy Mite National Park and extension",43.95,-21.15
"1005","Reserva Forestal Sipapo",-66.97,4.88
"1006","Monumento Natural Cerro Urutaní",-63,4
"1007","Zona Protectora San Rafael de Guasare",-72.55,10.85
"1008","Yungas Superiores de Madidi",-68.65,-14.45
"1009","Cuencas de Ríos Caine y Mizque",-65.08,-18.19
"1010","Bajo Río Beni, Región Tacana",-67,-13.25
"1011","Lagunas de Agua Dulce del Sureste de Potosí",-67.05,-22.35
"1012","Lagunas Salinas del Suroeste de Potosí",-67.81,-22.03
"1013","Yungas Inferiores de Amboró",-64,-17.58
"1014","Lago Poopó y Río Laka Jahuira",-67.05,-18.85
"1015","Loreto",-64.5,-15.25
"1016","Área Natural de Manejo Integrado San Matías",-58.6,-17.53
"1017","Yungas Inferiores de Madidi",-68.67,-13.83
"1018","Reserva de Inmovilización Iténez",-63.31,-13
"1019","Reserva Nacional Amazónica Manuripi Heath",-68.03,-11.69
"1020","Tahuamanu",-69,-11.5
"1021","KAA-IYA del Gran Chaco",-61.43,-19
"1022","Reserva Nacional de Flora y Fauna Tariquía",-64.5,-22
"1023","Yungas Inferiores de Pilón Lajas",-67.5,-15
"1024","Yungas Superiores de Amboró",-64.12,-17.88
"1025","Yungas Superiores de Carrasco",-65.15,-17.45
"1026","Yungas Superiores de Mosetenes y Cocapata",-66.42,-16.42
"1027","Yungas Inferiores de Isiboro-Sécure / Altamachi",-66.25,-16.25
"1028","Lagunas Rogaguado y Ginebra",-65.75,-13
"1029","Reserva Forestal Alto Paraguá",-60.96,-15.61
"1030","Yungas Inferiores de Carrasco",-64.83,-17.42
"1031","Otuquis Integrated Management Natural Area",-58.62,-19.46
"1032","Oeste de Río Mamoré",-65.88,-13.75
"1033","Este de Río Mamoré",-64.89,-13.75
"1034","Cotapata",-68.19,-15.88
"1035","Villa Iris, Chasicó, Napostá",-62.75,-38.5
"1036","Caldenal del Sudoeste  de Buenos Aires",-63.05,-38.35
"1037","Estepas arbustivas del Sur de Buenos Aires",-62.75,-40.75
"1038","Cuenca del Río Salado",-59.35,-35.35
"1039","Reserva Provincial y de la Biosfera Laguna Blanca",-66.88,-26.56
"1040","Salinas Grandes",-65.19,-29.81
"1041","Reserva de Uso Múltiple Bañados del Río Dulce y",-62.94,-30.13
"1042","Bañado La Estrella Este",-60.44,-24.31
"1043","Bañado La Estrella Oeste",-61.75,-23.25
"1044","San Antonio Oeste",-64.75,-40.5
"1045","Extensión Límite Este y Sur del Parque Nacional",-71.15,-41.55
"1046","Valle del río Paraguay-Paraná",-58.67,-27.25
"1047","La Fidelidad",-61,-25
"1048","Cuenca del río Aguapey",-56.5,-28.25
"1049","Reserva Provincial Olaroz-Cauchari",-66.88,-23.75
"1050","Sistema de lagunas de Vilama-Pululos",-66.96,-23.11
"1051","Parque Nacional Los Alerces y Laguna Terraplén",-72,-43
"1052","Lago La Plata - Fontana",-71.5,-45
"1053","Bañados del Río Atuel",-66.63,-37.33
"1054","Reserva Provincial Laguna Brava",-69.15,-28.45
"1055","Luracatao y Valles Calchaquíes",-66.38,-25.25
"1056","Valle Fluvial del Río Paraguay",-58.11,-26.11
"1057","Salinas de Ambargasta",-64.5,-29.25
"1058","Parque Nacional Copo",-62,-26
"1059","Bajos Submeridionales",-60.75,-28.75
"1060","Dorso Occidental Subhúmedo de Santa Fe",-61.89,-29.46
"1061","San Javier",-60,-30.25
"1062","Pastizales de La Travesía y Buena Esperanza",-66,-34.25
"1063","Reserva Costa Atlántica de Tierra del Fuego y zon",-68.03,-53.53
"1064","Reserva de la Biósfera Yabotí",-54,-27
"1065","Reserva Nacional Pacaya Samiria",-74.66,-5.16
"1066","Tambopata",-69.5,-13
"1067","Reserva Nacional Salinas y Aguada Blanca",-71.25,-16
"1068","Cotahuasi",-72.82,-15.11
"1069","Laguna de los Cóndores",-77.5,-7
"1070","Parque Nacional Natural Amacayacu",-70,-3.5
"1071","Complejo de Humedales Costeros de la Guajira",-72.61,11.75
"1072","Parque Nacional Natural El Tuparro",-68.46,5.32
"1073","Serranía de San Lucas",-74.39,7.82
"1074","Río Conambo-Bobonaza",-77.03,-1.81
"1075","Territorio Achuar",-77.12,-2.25
"1076","Manglares del golfo de Guayaquil",-80.05,-2.65
"1077","Verde-Ónzole-Cayapas-Canandé",-79.08,0.58
"1078","Gran Yasuní",-76.28,-1.05
"1079","Tierras altas de Isabela",-91.33,-0.25
"1080","Parque Nacional Llanganates",-78.08,-1.08
"1081","Cordillera del Cóndor",-78.5,-3.75
"1082","Parque Nacional Cayambe-Coca",-77.85,0.05
"1083","Reserva Ecológica Cotacachi-Cayapas",-78.75,0.5
"1084","Greater Addo complex",25.61,-33.46
"1085","Mountain Zebra National Park complex",25.12,-32.12
"1086","Northern Eastern Cape",28.83,-30.62
"1087","Licuati Forests and Eastern Swazi Lebombo",32.25,-26.5
"1088","Ponto do Ouro",32.55,-26.85
"1089","Magude - Muomba",32.61,-24.75
"1090","Hluhluwe - Mkhuze lowveld",32.19,-27.81
"1091","Udzungwa Mountains",36,-8.1
"1092","Azas Nature Reserve",97.61,52.48
"1093","Tunkin valley",102.25,51.5
"1094","Aginskiye lakes",115,50.75
"1095","Bain-Tsaganskiye lakes",115.33,50.33
"1096","Murukta depression",102.35,67.6
"1097","Gusikha river basin and lower Balakhnya river",106.42,73.83
"1098","Lower Leningradskaya river",101.8,76.39
"1099","Pyasina delta",87.02,73.78
"1100","Oleniy island and Yuratskaya bay",77.92,72.42
"1101","Kurluska lake and middle Boganida valley",97.13,71.44
"1102","Volochanka river basin",93.94,70.56
"1103","Brekhovskiye islands",82.1,70.55
"1104","Parapol'skiy valley",166.23,61.91
"1105","Dudypta river plains",93.64,71.54
"1106","Lena delta",126.74,72.72
"1107","Kolyma delta",160.17,69.29
"1108","Terpyey-Tumus",117,73.5
"1109","Muna-Besyuke",124.28,69.11
"1110","Forty islands",125.39,64.75
"1111","Anabar",112.89,70.54
"1112","Yana delta",138.89,71.29
"1113","San-Yuryakh",141.37,72.49
"1114","Kytalyk",146.7,71.29
"1115","Keremesit-Sundrun watershed",156.41,70.34
"1116","Abyy lowland",144.38,68.18
"1117","Novosibirski archipelago",142.26,75.06
"1118","Kolyma-Alazeya lowland",153.13,68.44
"1119","Pura river basin",87.24,72.08
"1120","West Chaun plain",167.5,69.5
"1121","Cape Billings",175.8,69.65
"1122","Lower Anadyr lowlands",177.9,63.96
"1123","Lebediny refuge (Markovo depression)",171.53,65.19
"1124","Bolon' lake",135.75,49.5
"1125","Dal'dzi lake",139.25,53
"1126","Udyl' lake",139.75,52
"1127","Evoron-Chukchagirskoye depression",136.5,51.75
"1128","Khanka plain",132.57,44.93
"1129","Kievka and Chernaya river basins",133.92,43.19
"1130","Chelomdzha valley and Kava-Chelomdzha interfluve",147.69,59.81
"1131","Upper and middle Nizhnyaya Baikha river",86.93,64.8
"1132","Middle Onon",112.25,49.7
"1133","Lowland swamps in the valley of Tungur and Nenyug*",121.19,54.92
"1134","Nordenshel'da archipelago",96.05,76.68
"1135","Huma He Nature Reserve",125.83,52.08
"1136","Nanweng He Nature Reserve",125.25,51.39
"1137","Changbai Shan Nature Reserve",128,42
"1138","Shuangtai (Shuangtaizi) Estuary and Inner Gulf of*",121.92,40.83
"1139","Orqohan",121.62,49.56
"1140","Dalai Nur Nature Reserve",117.47,48.92
"1141","Dali Nur Nature Reserve",116.88,43.25
"1142","Xilin Gol Nature Reserve",116.19,44.19
"1143","Damaoqi",110.22,41.88
"1144","Bosten Lake",87,41.92
"1145","Tarim Euphrates Poplar Forest Nature Reserve",84.75,41
"1146","Xayar forest and wetland",83,41
"1147","Lower reaches of Tarim River",87.47,40.69
"1148","Aksu River basin",80.71,40.56
"1149","Markit-Yarkant Oasis",77.55,38.65
"1150","Qiemo Oasis and Qarqan River",86,38.5
"1151","Ayark Kol and alpine grassland",89.95,37.45
"1152","Changtang plateau",85.99,34.12
"1153","Nam Co",90.39,30.54
"1154","Yamdrok Co",90.65,28.95
"1155","Yinchuan plain",106.42,38.47
"1156","Jinta",99,40.25
"1157","Minqin",103,38.81
"1158","Eastern Qilian Shan mountains",100.82,37.96
"1159","Heshui",108.5,36
"1160","Jonê",103.25,34.5
"1161","Qinghai Hu (Koko Nor)",100.25,37
"1162","Xishuangbanna",101.18,21.82
"1163","Yellow River Delta Nature Reserve",118.75,37.61
"1164","Qingdao-Rizhao coastal wetland and islands",120,36
"1165","Yancheng Nature Reserve",120.39,33.61
"1166","Dongting Hu wetlands",112.67,29.17
"1167","Longlin-Xilin",105.11,24.54
"1168","Karamay Mountains",89.88,44.88
"1169","Altay forest and steppe",88.75,47.9
"1170","Lindian County Xinxing Horse Ranch and Julang Pas*",125,47
"1171","Mangui",122.18,52.18
"1172","Ulgai",117.75,45.58
"1173","Loess Plateau in western Gansu",104.42,35.44
"1174","Dunhuang Nature Reserve and Western Qilian Shan m*",94.25,40.12
"1175","Area delle Murge e delle Gravine",16.62,40.88
"1176","Gargano Promontory and Capitanata Wetlands",15.85,41.55
"1177","Mount Velebit",15.45,44.45
"1178","Gorski Kotar and Northern Lika",14.97,45.19
"1179","Tierra de Campos steppes",-5.25,42
